"competência";"seção";"saldomovimentação";"cbo2002ocupação";"categoria";"graudeinstrução";"idade";"horascontratuais";"tempoemprego";"raçacor";"sexo";"tipoempregador";"tipoestabelecimento";"tipomovimentação";"tipodedeficiência";"indtrabintermitente";"indtrabparcial";"salário";"tamestabjan";"indicadoraprendiz"
"202001";"J";-1;"212405";"101";"7";49;40;84;"4";"1";"0";"1";"31";"0";"0";"0";8239,8095703125;"5";"0"
"202001";"K";-1;"212405";"101";"9";22;44;33;"1";"1";"0";"1";"90";"0";"0";"0";4200;"7";"0"
"202001";"J";-1;"212405";"101";"9";29;40;44;"2";"1";"0";"1";"31";"0";"0";"0";5872,259765625;"8";"0"
"202001";"J";-1;"212405";"101";"9";36;40;13;"1";"1";"0";"1";"40";"0";"0";"0";9010,2900390625;"10";"0"
"202001";"G";-1;"212405";"101";"7";31;44;104;"1";"1";"0";"1";"31";"0";"0";"0";5429;"7";"0"
"202001";"J";-1;"212405";"101";"9";33;40;11;"1";"1";"0";"1";"40";"0";"0";"0";10850;"10";"0"
"202001";"J";-1;"212405";"101";"9";24;40;20;"1";"1";"0";"1";"40";"0";"0";"0";4791,490234375;"8";"0"
"202001";"J";-1;"212405";"101";"9";35;40;53;"1";"3";"0";"1";"40";"0";"0";"0";8859,1201171875;"8";"0"
"202001";"N";-1;"212405";"101";"9";27;40;43;"2";"3";"0";"1";"31";"0";"0";"0";2005;"4";"0"
"202001";"M";-1;"317110";"101";"9";31;40;1;"1";"3";"0";"1";"40";"0";"0";"0";3250;"6";"0"
"202001";"J";-1;"212405";"101";"9";28;40;0;"1";"1";"0";"1";"40";"0";"0";"0";3041,4599609375;"5";"0"
"202001";"J";-1;"212405";"101";"8";22;40;4;"6";"3";"0";"1";"40";"0";"0";"0";5300;"3";"0"
"202001";"G";-1;"212405";"101";"9";32;44;6;"1";"1";"0";"1";"40";"0";"0";"0";8836,349609375;"8";"0"
"202001";"K";-1;"212405";"101";"9";37;44;81;"1";"3";"0";"1";"31";"0";"0";"0";10095,25;"10";"0"
"202001";"J";-1;"212405";"999";"9";42;40;7;"3";"1";"0";"1";"31";"0";"0";"0";4000;"5";"0"
"202001";"J";-1;"212405";"101";"80";46;40;8;"1";"1";"0";"1";"40";"0";"0";"0";2315;"6";"0"
"202001";"J";-1;"212405";"101";"8";43;40;9;"4";"1";"0";"1";"31";"0";"0";"0";4200;"8";"0"
"202001";"J";-1;"317110";"101";"9";26;40;21;"1";"1";"0";"1";"40";"0";"0";"0";13233,5;"5";"0"
"202001";"N";-1;"212405";"101";"9";26;40;5;"1";"1";"0";"1";"31";"0";"0";"0";4000;"5";"0"
"202001";"A";-1;"317110";"101";"6";19;44;5;"3";"1";"2";"3";"31";"0";"0";"0";1130,47998046875;"99";"0"
"202001";"N";-1;"212405";"101";"9";23;44;19;"1";"1";"0";"1";"40";"0";"0";"0";5104,1298828125;"9";"0"
