"competência";"seção";"saldomovimentação";"cbo2002ocupação";"categoria";"graudeinstrução";"idade";"horascontratuais";"tempoemprego";"raçacor";"sexo";"tipoempregador";"tipoestabelecimento";"tipomovimentação";"tipodedeficiência";"indtrabintermitente";"indtrabparcial";"salário";"tamestabjan";"indicadoraprendiz"
"202001";"K";1;"212405";"101";"9";36;40;11;"1";"1";"0";"1";"20";"0";"0";"0";11440;"7";"0"
"202001";"K";1;"317110";"101";"9";23;30;11;"1";"1";"0";"1";"20";"0";"0";"1";7999,990234375;"10";"0"
"202001";"J";1;"317110";"101";"9";23;40;11;"6";"1";"0";"1";"20";"0";"0";"0";4500;"5";"0"
"202001";"M";1;"212405";"101";"7";27;44;11;"1";"1";"0";"1";"20";"0";"0";"0";8045,93994140625;"7";"0"
"202001";"K";1;"212405";"101";"8";25;44;11;"1";"1";"0";"1";"20";"0";"0";"0";5200;"10";"0"
"202001";"N";1;"212405";"101";"9";28;40;11;"1";"1";"0";"1";"20";"0";"0";"0";5500;"7";"0"
"202001";"S";1;"212405";"101";"9";31;40;11;"1";"1";"0";"1";"20";"4";"0";"0";5059;"8";"0"
"202001";"J";1;"212405";"111";"7";23;40;11;"3";"1";"0";"1";"20";"0";"1";"0";1500;"6";"0"
"202001";"J";1;"317110";"101";"9";32;40;11;"1";"1";"0";"1";"20";"0";"0";"0";8000;"7";"0"
"202001";"G";1;"317110";"101";"9";23;44;11;"1";"1";"0";"1";"20";"0";"0";"0";2750;"10";"0"
"202001";"J";1;"212405";"101";"9";23;40;11;"1";"1";"0";"1";"20";"0";"0";"0";2500;"5";"0"
"202001";"J";1;"212405";"101";"9";48;40;11;"1";"1";"0";"1";"20";"0";"0";"0";4000;"8";"0"
"202001";"J";1;"212405";"101";"9";36;40;11;"6";"1";"0";"1";"20";"0";"0";"0";5153;"6";"0"
"202001";"J";1;"212405";"101";"8";23;40;12;"3";"3";"0";"1";"20";"0";"0";"0";3500;"10";"0"
"202001";"J";1;"212405";"101";"9";22;44;11;"3";"1";"0";"1";"20";"1";"0";"0";2000;"6";"0"
"202001";"N";1;"212405";"106";"7";25;44;11;"1";"3";"0";"1";"20";"0";"0";"0";2192,3798828125;"10";"0"
"202001";"G";1;"212405";"101";"7";31;44;11;"3";"3";"0";"1";"20";"0";"0";"0";1500;"4";"0"
"202001";"M";1;"212405";"101";"8";23;40;11;"3";"3";"0";"1";"20";"0";"0";"0";4000;"7";"0"
"202001";"K";1;"212405";"101";"9";27;44;11;"1";"3";"0";"1";"10";"0";"0";"0";7013,08984375;"10";"0"
"202001";"F";1;"317110";"101";"9";43;44;11;"3";"1";"0";"1";"20";"0";"0";"0";3750;"6";"0"
"202001";"M";1;"317110";"101";"9";21;44;11;"1";"1";"0";"1";"20";"0";"0";"0";2500;"4";"0"
"202001";"M";1;"317110";"101";"9";33;44;11;"6";"1";"0";"1";"20";"0";"0";"0";10500;"7";"0"
"202001";"J";1;"212405";"101";"9";59;40;11;"1";"1";"0";"1";"20";"0";"0";"0";7321,43017578125;"7";"0"
"202001";"J";1;"317110";"101";"9";25;40;11;"3";"1";"0";"1";"20";"0";"0";"0";6508,81005859375;"10";"0"
"202001";"J";1;"212405";"101";"9";28;40;11;"1";"1";"0";"1";"20";"0";"0";"0";2600;"6";"0"
"202001";"J";1;"212405";"101";"80";43;40;11;"3";"1";"0";"1";"20";"0";"0";"0";8000;"7";"0"
"202001";"K";1;"212405";"101";"9";36;44;11;"1";"1";"0";"1";"20";"0";"0";"0";10917;"10";"0"
"202001";"K";1;"212405";"101";"9";21;44;11;"1";"1";"0";"1";"10";"0";"0";"0";4720;"10";"0"
"202001";"J";1;"212405";"101";"8";30;44;11;"1";"1";"0";"1";"20";"0";"0";"0";1700;"6";"0"
"202001";"J";1;"317110";"101";"9";32;44;11;"6";"1";"0";"1";"20";"0";"0";"0";3000;"3";"0"
